timestamp,vl11.tick,vl11.s0,vl11.s1,vl11.s2,vl11.s3,vl11.s4,vl11.s5,vl11.s6,vl11.s7,vl11.s8,vl11.s9,vl11.s10
12073,4,221,314,407,500,593,686,779,872,965,1058,1151
12173,9,256,349,442,535,628,721,814,907,1000,1093,1186
12273,14,291,384,477,570,663,756,849,942,1035,1128,1221
12373,19,326,419,512,605,698,791,884,977,1070,1163,1256
12473,24,361,454,547,640,733,826,919,1012,1105,1198,1291
12573,29,396,489,582,675,768,861,954,1047,1140,1233,1326
12673,34,431,524,617,710,803,896,989,1082,1175,1268,1361
12773,39,466,559,652,745,838,931,1024,1117,1210,1303,1396
12873,44,501,594,687,780,873,966,1059,1152,1245,1338,1431
12973,49,536,629,722,815,908,1001,1094,1187,1280,1373,1466
13073,54,571,664,757,850,943,1036,1129,1222,1315,1408,1501
13173,59,606,699,792,885,978,1071,1164,1257,1350,1443,1536
13273,64,641,734,827,920,1013,1106,1199,1292,1385,1478,1571
13373,69,676,769,862,955,1048,1141,1234,1327,1420,1513,1606
13473,74,711,804,897,990,1083,1176,1269,1362,1455,1548,1641
13573,79,746,839,932,1025,1118,1211,1304,1397,1490,1583,1676
13673,84,781,874,967,1060,1153,1246,1339,1432,1525,1618,211
13773,89,816,909,1002,1095,1188,1281,1374,1467,1560,1653,246
13873,94,851,944,1037,1130,1223,1316,1409,1502,1595,1688,281
13973,99,886,979,1072,1165,1258,1351,1444,1537,1630,223,316
14073,104,921,1014,1107,1200,1293,1386,1479,1572,1665,258,351
14173,109,956,1049,1142,1235,1328,1421,1514,1607,200,293,386
14273,114,991,1084,1177,1270,1363,1456,1549,1642,235,328,421
14373,119,1026,1119,1212,1305,1398,1491,1584,1677,270,363,456
14473,124,1061,1154,1247,1340,1433,1526,1619,212,305,398,491
14573,129,1096,1189,1282,1375,1468,1561,1654,247,340,433,526
14673,134,1131,1224,1317,1410,1503,1596,1689,282,375,468,561
14773,139,1166,1259,1352,1445,1538,1631,224,317,410,503,596
14873,144,1201,1294,1387,1480,1573,1666,259,352,445,538,631
14973,149,1236,1329,1422,1515,1608,201,294,387,480,573,666
15073,154,1271,1364,1457,1550,1643,236,329,422,515,608,701
15173,159,1306,1399,1492,1585,1678,271,364,457,550,643,736
15273,164,1341,1434,1527,1620,213,306,399,492,585,678,771
15373,169,1376,1469,1562,1655,248,341,434,527,620,713,806
15473,174,1411,1504,1597,1690,283,376,469,562,655,748,841
15573,179,1446,1539,1632,225,318,411,504,597,690,783,876
15673,184,1481,1574,1667,260,353,446,539,632,725,818,911
15773,189,1516,1609,202,295,388,481,574,667,760,853,946
15873,194,1551,1644,237,330,423,516,609,702,795,888,981
15973,199,1586,1679,272,365,458,551,644,737,830,923,1016
16073,204,1621,214,307,400,493,586,679,772,865,958,1051
16173,209,1656,249,342,435,528,621,714,807,900,993,1086
16273,214,1691,284,377,470,563,656,749,842,935,1028,1121
16373,219,226,319,412,505,598,691,784,877,970,1063,1156
16473,224,261,354,447,540,633,726,819,912,1005,1098,1191
16573,229,296,389,482,575,668,761,854,947,1040,1133,1226
16673,234,331,424,517,610,703,796,889,982,1075,1168,1261
16773,239,366,459,552,645,738,831,924,1017,1110,1203,1296
16873,244,401,494,587,680,773,866,959,1052,1145,1238,1331
16973,249,436,529,622,715,808,901,994,1087,1180,1273,1366
17073,254,471,564,657,750,843,936,1029,1122,1215,1308,1401
17173,259,506,599,692,785,878,971,1064,1157,1250,1343,1436
17273,264,541,634,727,820,913,1006,1099,1192,1285,1378,1471
17373,269,576,669,762,855,948,1041,1134,1227,1320,1413,1506
17473,274,611,704,797,890,983,1076,1169,1262,1355,1448,1541
17573,279,646,739,832,925,1018,1111,1204,1297,1390,1483,1576
17673,284,681,774,867,960,1053,1146,1239,1332,1425,1518,1611
17773,289,716,809,902,995,1088,1181,1274,1367,1460,1553,1646
17873,294,751,844,937,1030,1123,1216,1309,1402,1495,1588,1681
17973,299,786,879,972,1065,1158,1251,1344,1437,1530,1623,216
18073,304,821,914,1007,1100,1193,1286,1379,1472,1565,1658,251
18173,309,856,949,1042,1135,1228,1321,1414,1507,1600,1693,286
18273,314,891,984,1077,1170,1263,1356,1449,1542,1635,228,321
18373,319,926,1019,1112,1205,1298,1391,1484,1577,1670,263,356
18473,324,961,1054,1147,1240,1333,1426,1519,1612,205,298,391
18573,329,996,1089,1182,1275,1368,1461,1554,1647,240,333,426
18673,334,1031,1124,1217,1310,1403,1496,1589,1682,275,368,461
18773,339,1066,1159,1252,1345,1438,1531,1624,217,310,403,496
18873,344,1101,1194,1287,1380,1473,1566,1659,252,345,438,531
18973,349,1136,1229,1322,1415,1508,1601,1694,287,380,473,566
19073,354,1171,1264,1357,1450,1543,1636,229,322,415,508,601
19173,359,1206,1299,1392,1485,1578,1671,264,357,450,543,636
19273,364,1241,1334,1427,1520,1613,206,299,392,485,578,671
19373,369,1276,1369,1462,1555,1648,241,334,427,520,613,706
19473,374,1311,1404,1497,1590,1683,276,369,462,555,648,741
19573,379,1346,1439,1532,1625,218,311,404,497,590,683,776
19673,384,1381,1474,1567,1660,253,346,439,532,625,718,811
19773,389,1416,1509,1602,1695,288,381,474,567,660,753,846
19873,394,1451,1544,1637,230,323,416,509,602,695,788,881
19973,399,1486,1579,1672,265,358,451,544,637,730,823,916
20073,404,1521,1614,207,300,393,486,579,672,765,858,951
20173,409,1556,1649,242,335,428,521,614,707,800,893,986
20273,414,1591,1684,277,370,463,556,649,742,835,928,1021
20373,419,1626,219,312,405,498,591,684,777,870,963,1056
20473,424,1661,254,347,440,533,626,719,812,905,998,1091
20573,429,1696,289,382,475,568,661,754,847,940,1033,1126
20673,434,231,324,417,510,603,696,789,882,975,1068,1161
20773,439,266,359,452,545,638,731,824,917,1010,1103,1196
20873,444,301,394,487,580,673,766,859,952,1045,1138,1231
20973,449,336,429,522,615,708,801,894,987,1080,1173,1266
21073,454,371,464,557,650,743,836,929,1022,1115,1208,1301
21173,459,406,499,592,685,778,871,964,1057,1150,1243,1336
21273,464,441,534,627,720,813,906,999,1092,1185,1278,1371
21373,469,476,569,662,755,848,941,1034,1127,1220,1313,1406
21473,474,511,604,697,790,883,976,1069,1162,1255,1348,1441
21573,479,546,639,732,825,918,1011,1104,1197,1290,1383,1476
21673,484,581,674,767,860,953,1046,1139,1232,1325,1418,1511
21773,489,616,709,802,895,988,1081,1174,1267,1360,1453,1546
21873,494,651,744,837,930,1023,1116,1209,1302,1395,1488,1581
