timestamp,vl11.tick,vl11.s0,vl11.s1,vl11.s2,vl11.s3,vl11.s4,vl11.s5,vl11.s6,vl11.s7,vl11.s8,vl11.s9,vl11.s10
617196,29604,421,514,607,700,793,886,979,1072,1165,1258,1351
617296,29609,456,549,642,735,828,921,1014,1107,1200,1293,1386
617396,29614,491,584,677,770,863,956,1049,1142,1235,1328,1421
617496,29619,526,619,712,805,898,991,1084,1177,1270,1363,1456
617596,29624,561,654,747,840,933,1026,1119,1212,1305,1398,1491
617696,29629,596,689,782,875,968,1061,1154,1247,1340,1433,1526
617796,29634,631,724,817,910,1003,1096,1189,1282,1375,1468,1561
617896,29639,666,759,852,945,1038,1131,1224,1317,1410,1503,1596
617996,29644,701,794,887,980,1073,1166,1259,1352,1445,1538,1631
618096,29649,736,829,922,1015,1108,1201,1294,1387,1480,1573,1666
618196,29654,771,864,957,1050,1143,1236,1329,1422,1515,1608,201
618296,29659,806,899,992,1085,1178,1271,1364,1457,1550,1643,236
618396,29664,841,934,1027,1120,1213,1306,1399,1492,1585,1678,271
618496,29669,876,969,1062,1155,1248,1341,1434,1527,1620,213,306
618596,29674,911,1004,1097,1190,1283,1376,1469,1562,1655,248,341
618696,29679,946,1039,1132,1225,1318,1411,1504,1597,1690,283,376
618796,29684,981,1074,1167,1260,1353,1446,1539,1632,225,318,411
618896,29689,1016,1109,1202,1295,1388,1481,1574,1667,260,353,446
618996,29694,1051,1144,1237,1330,1423,1516,1609,202,295,388,481
619096,29699,1086,1179,1272,1365,1458,1551,1644,237,330,423,516
619196,29704,1121,1214,1307,1400,1493,1586,1679,272,365,458,551
619296,29709,1156,1249,1342,1435,1528,1621,214,307,400,493,586
619396,29714,1191,1284,1377,1470,1563,1656,249,342,435,528,621
619496,29719,1226,1319,1412,1505,1598,1691,284,377,470,563,656
619596,29724,1261,1354,1447,1540,1633,226,319,412,505,598,691
619696,29729,1296,1389,1482,1575,1668,261,354,447,540,633,726
619796,29734,1331,1424,1517,1610,203,296,389,482,575,668,761
619896,29739,1366,1459,1552,1645,238,331,424,517,610,703,796
619996,29744,1401,1494,1587,1680,273,366,459,552,645,738,831
620096,29749,1436,1529,1622,215,308,401,494,587,680,773,866
620196,29754,1471,1564,1657,250,343,436,529,622,715,808,901
620296,29759,1506,1599,1692,285,378,471,564,657,750,843,936
620396,29764,1541,1634,227,320,413,506,599,692,785,878,971
620496,29769,1576,1669,262,355,448,541,634,727,820,913,1006
620596,29774,1611,204,297,390,483,576,669,762,855,948,1041
620696,29779,1646,239,332,425,518,611,704,797,890,983,1076
620796,29784,1681,274,367,460,553,646,739,832,925,1018,1111
620896,29789,216,309,402,495,588,681,774,867,960,1053,1146
620996,29794,251,344,437,530,623,716,809,902,995,1088,1181
621096,29799,286,379,472,565,658,751,844,937,1030,1123,1216
621196,29804,321,414,507,600,693,786,879,972,1065,1158,1251
621296,29809,356,449,542,635,728,821,914,1007,1100,1193,1286
621396,29814,391,484,577,670,763,856,949,1042,1135,1228,1321
621496,29819,426,519,612,705,798,891,984,1077,1170,1263,1356
621596,29824,461,554,647,740,833,926,1019,1112,1205,1298,1391
621696,29829,496,589,682,775,868,961,1054,1147,1240,1333,1426
621796,29834,531,624,717,810,903,996,1089,1182,1275,1368,1461
621896,29839,566,659,752,845,938,1031,1124,1217,1310,1403,1496
621996,29844,601,694,787,880,973,1066,1159,1252,1345,1438,1531
