timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10
32390.204,145.0625,148.375,175.125,460.125,29.0625,261.4375,157.5,128.6875,314.6875,12.4375,12.375
32394.118,145.0625,148.375,175.125,460.125,29.0625,261.4375,157.5,128.6875,314.6875,12.4375,12.375
32398.122,145.0625,148.375,175.125,460.125,29.0625,261.4375,157.5,128.6875,314.6875,12.4375,12.375
32402.043,145.0625,148.375,175.125,460.125,29.0625,261.4375,157.5,128.6875,314.6875,12.4375,12.375
32406.006,145.0625,148.375,175.125,460.125,29.0625,261.4375,157.5,128.6875,314.6875,12.4375,12.375
32410.015,145.0625,148.375,175.125,460.125,29.0625,261.4375,157.5,128.6875,314.6875,12.4375,12.375
32413.932,145.0625,148.375,175.125,460.125,29.0625,261.4375,157.5,128.6875,314.6875,12.4375,12.375
32417.926,145.0625,148.375,175.125,460.125,29.0625,261.4375,157.5,128.6875,314.6875,12.4375,12.375
32421.861,145.0625,148.375,175.125,460.125,29.0625,261.4375,157.5,128.6875,314.6875,12.4375,12.375
32489.272,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32493.188,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32497.183,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32501.114,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32505.076,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32509.086,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32513.002,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32517.007,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32520.928,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32524.891,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32528.9,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32532.816,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32536.811,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32540.742,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32544.705,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32548.714,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32552.631,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32556.635,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32560.557,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32564.519,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32568.529,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32572.445,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32576.44,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32580.371,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32584.344,143.5625,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32588.355,135.6875,140.25,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32592.266,135.6875,136.4375,162.5625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32596.276,135.6875,136.4375,158.0625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32600.196,135.6875,136.4375,158.0625,581.25,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32604.16,135.6875,136.4375,158.0625,264.1875,28.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32608.171,135.6875,136.4375,158.0625,264.1875,35.5625,288.5625,157.875,141.0625,383.3125,10.3125,20.625
32612.089,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,157.875,141.0625,383.3125,10.3125,20.625
32639.815,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32643.777,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32647.785,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32651.702,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32655.697,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32659.627,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32663.59,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32667.599,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32671.516,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32675.521,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32679.442,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32683.405,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32687.414,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32691.33,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32695.326,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32699.256,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32703.219,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32707.228,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32711.145,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32715.149,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32719.07,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32723.033,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32727.042,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32730.96,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32734.955,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32738.894,135.6875,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32742.86,200.3125,136.4375,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32746.866,200.3125,190.25,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32750.78,200.3125,190.25,158.0625,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32754.787,200.3125,190.25,215.8125,264.1875,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32758.71,200.3125,190.25,215.8125,553.3125,35.5625,355.75,161.75,160.125,306.5,32.25,36.3125
32762.676,200.3125,190.25,215.8125,553.3125,100.6875,355.75,161.75,160.125,306.5,32.25,36.3125
32766.685,200.3125,190.25,215.8125,553.3125,100.6875,355.75,161.75,160.125,306.5,32.25,36.3125
32770.597,200.3125,190.25,215.8125,553.3125,100.6875,378.0,161.75,160.125,306.5,32.25,36.3125
32798.327,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32802.29,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32806.299,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32810.215,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32814.21,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32818.142,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32822.104,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32826.113,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32830.03,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32834.034,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32837.955,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32841.918,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32845.927,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32849.844,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32853.839,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32857.769,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32861.732,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32865.741,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32869.658,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32873.662,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32877.584,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32881.547,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32885.556,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32889.479,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32893.473,200.3125,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32897.411,226.0,190.25,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32901.373,226.0,221.0625,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32905.38,226.0,221.0625,215.8125,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32909.304,226.0,221.0625,242.1875,553.3125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32913.298,226.0,221.0625,242.1875,308.125,100.6875,378.0,174.625,163.625,298.5625,55.4375,58.6875
32917.227,226.0,221.0625,242.1875,308.125,135.9375,378.0,174.625,163.625,298.5625,55.4375,58.6875
32921.191,226.0,221.0625,242.1875,308.125,135.9375,378.0,174.625,163.625,298.5625,55.4375,58.6875
32948.921,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32952.919,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32956.841,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32960.803,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32964.813,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32968.739,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32972.724,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32976.655,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32980.617,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32984.627,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32988.552,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32992.548,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
32996.469,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33000.432,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33004.442,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33008.368,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33012.355,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
33016.285,226.0,221.0625,242.1875,308.125,135.9375,409.25,176.0625,172.0,394.5,70.8125,76.8125
