timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z
32369.564,281.5,246.5,256.875,308.6875,192.625,90.0,63.375,262.4375,1968.1875,16.875,-26.5625,0.0,0.0,112.78775787353516
32373.567,281.5,246.5,256.875,308.6875,192.625,90.0,63.375,262.4375,1968.1875,16.875,-26.5625,0.0,0.0,112.77861022949219
32377.488,281.5,246.5,256.875,308.6875,192.625,90.0,63.375,262.4375,1968.1875,16.875,-26.5625,0.0,0.0,112.77861022949219
32381.452,281.5,246.5,256.875,308.6875,192.625,90.0,63.375,262.4375,1968.1875,16.875,-26.5625,0.0,0.0,112.77861022949219
32385.461,281.5,246.5,256.875,308.6875,192.625,90.0,63.375,262.4375,1968.1875,16.875,-26.5625,0.0,0.0,112.77091979980469
32389.378,281.5,246.5,256.875,308.6875,192.625,90.0,63.375,262.4375,1968.1875,16.875,-26.5625,0.0,0.0,112.77091979980469
32393.373,281.5,246.5,256.875,308.6875,192.625,90.0,63.375,262.4375,1968.1875,16.875,-26.5625,0.0,0.0,112.76399993896484
32468.64,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.76322174072266
32472.635,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.76363372802734
32476.566,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.76363372802734
32480.529,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.76363372802734
32484.538,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.7645492553711
32488.455,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.7645492553711
32492.46,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.76537322998047
32496.381,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.76537322998047
32500.344,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.76537322998047
32504.354,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.7579116821289
32512.266,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.7511978149414
32516.197,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.7511978149414
32520.16,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.7511978149414
32524.17,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.75664520263672
32528.09,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.75664520263672
32532.092,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.76154327392578
32536.013,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.76154327392578
32539.976,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.76154327392578
32543.985,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.76486206054688
32547.908,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.76486206054688
32551.898,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.7678451538086
32555.829,282.125,245.1875,257.125,308.75,193.625,90.0625,63.0,263.875,1964.875,13.0,-25.5,0.0,0.0,112.7678451538086
