timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,vl53l8cx_s0.d0,vl53l8cx_s0.d1,vl53l8cx_s0.d2,vl53l8cx_s0.d3,vl53l8cx_s0.d4,vl53l8cx_s0.d5,vl53l8cx_s0.d6,vl53l8cx_s0.d7,vl53l8cx_s0.d8,vl53l8cx_s0.d9,vl53l8cx_s0.d10,vl53l8cx_s0.d11,vl53l8cx_s0.d12,vl53l8cx_s0.d13,vl53l8cx_s0.d14,vl53l8cx_s0.d15,vl53l8cx_s0.st0,vl53l8cx_s0.st1,vl53l8cx_s0.st2,vl53l8cx_s0.st3,vl53l8cx_s0.st4,vl53l8cx_s0.st5,vl53l8cx_s0.st6,vl53l8cx_s0.st7,vl53l8cx_s0.st8,vl53l8cx_s0.st9,vl53l8cx_s0.st10,vl53l8cx_s0.st11,vl53l8cx_s0.st12,vl53l8cx_s0.st13,vl53l8cx_s0.st14,vl53l8cx_s0.st15,vl53l8cx_s1.d0,vl53l8cx_s1.d1,vl53l8cx_s1.d2,vl53l8cx_s1.d3,vl53l8cx_s1.d4,vl53l8cx_s1.d5,vl53l8cx_s1.d6,vl53l8cx_s1.d7,vl53l8cx_s1.d8,vl53l8cx_s1.d9,vl53l8cx_s1.d10,vl53l8cx_s1.d11,vl53l8cx_s1.d12,vl53l8cx_s1.d13,vl53l8cx_s1.d14,vl53l8cx_s1.d15,vl53l8cx_s1.st0,vl53l8cx_s1.st1,vl53l8cx_s1.st2,vl53l8cx_s1.st3,vl53l8cx_s1.st4,vl53l8cx_s1.st5,vl53l8cx_s1.st6,vl53l8cx_s1.st7,vl53l8cx_s1.st8,vl53l8cx_s1.st9,vl53l8cx_s1.st10,vl53l8cx_s1.st11,vl53l8cx_s1.st12,vl53l8cx_s1.st13,vl53l8cx_s1.st14,vl53l8cx_s1.st15,stateEstimate.x,stateEstimate.y,stateEstimate.z
32367.62,227.625,600.5,423.375,2379.375,29.375,184.75,248.75,601.8125,1966.625,12.875,-25.5625,84,86,87,94,161,133,305,314,165,133,365,363,163,130,557,502,5,5,5,5,5,255,9,9,255,255,5,9,255,255,5,5,67,67,69,67,131,126,113,111,1020,1022,3471,2975,98,86,91,94,5,5,5,5,5,5,5,5,5,5,10,5,255,255,255,255,0.0,0.0,106.13468170166016
32387.426,227.625,600.5,423.375,2379.375,29.375,184.75,248.75,601.8125,1966.625,12.875,-25.5625,84,86,87,94,161,133,305,314,165,133,365,363,163,130,557,502,5,5,5,5,5,255,9,9,255,255,5,9,255,255,5,5,67,67,69,67,131,126,113,111,1020,1022,3471,2975,98,86,91,94,5,5,5,5,5,5,5,5,5,5,10,5,255,255,255,255,0.0,0.0,106.13778686523438
32407.251,227.625,600.5,423.375,2379.375,29.375,184.75,248.75,601.8125,1966.625,12.875,-25.5625,84,86,87,94,161,133,305,314,165,133,365,363,163,130,557,502,5,5,5,5,5,255,9,9,255,255,5,9,255,255,5,5,67,67,69,67,131,126,113,111,1020,1022,3471,2975,98,86,91,94,5,5,5,5,5,5,5,5,5,5,10,5,255,255,255,255,0.0,0.0,106.13095092773438
32427.056,227.625,600.5,423.375,2379.375,29.375,184.75,248.75,601.8125,1966.625,12.875,-25.5625,84,86,87,94,161,133,305,314,165,133,365,363,163,130,557,502,5,5,5,5,5,255,9,9,255,255,5,9,255,255,5,5,67,67,69,67,131,126,113,111,1020,1022,3471,2975,98,86,91,94,5,5,5,5,5,5,5,5,5,5,10,5,255,255,255,255,0.0,0.0,106.12748718261719
32446.886,226.3125,390.0,423.375,2379.375,29.375,184.75,248.75,601.8125,1966.625,12.875,-25.5625,84,86,89,95,162,126,307,314,167,137,364,364,158,128,538,502,5,5,5,5,5,255,9,9,255,255,5,9,255,255,5,5,65,66,68,66,131,128,115,111,1001,1026,88,3004,98,86,87,100,5,5,5,5,5,5,5,5,5,5,255,10,255,255,255,255,0.0,0.0,106.13092041015625
32466.7,226.3125,390.0,570.9375,2157.875,29.1875,184.3125,248.75,601.8125,1966.625,12.875,-25.5625,84,86,89,95,162,126,307,314,167,137,364,364,158,128,538,502,5,5,5,5,5,255,9,9,255,255,5,9,255,255,5,5,65,66,68,66,131,128,115,111,1001,1026,88,3004,98,86,87,100,5,5,5,5,5,5,5,5,5,5,255,10,255,255,255,255,0.0,0.0,106.1368179321289
32526.143,226.3125,390.0,570.9375,2157.875,29.1875,184.3125,250.375,510.1875,1968.125,16.9375,-25.5625,84,86,89,95,162,126,307,314,167,137,364,364,158,128,538,502,5,5,5,5,5,255,9,9,255,255,5,9,255,255,5,5,65,66,68,66,131,128,115,111,1001,1026,88,3004,98,86,87,100,5,5,5,5,5,5,5,5,5,5,255,10,255,255,255,255,0.0,0.0,106.13272094726562
32545.949,226.3125,390.0,570.9375,2157.875,29.1875,184.3125,250.375,510.1875,1968.125,16.9375,-25.5625,84,86,89,95,162,126,307,314,167,137,364,364,158,128,538,502,5,5,5,5,5,255,9,9,255,255,5,9,255,255,5,5,65,66,68,66,131,128,115,111,1001,1026,88,3004,98,86,87,100,5,5,5,5,5,5,5,5,5,5,255,10,255,255,255,255,0.0,0.0,106.12373352050781
32565.773,226.3125,390.0,570.9375,2157.875,29.1875,184.3125,250.375,510.1875,1968.125,16.9375,-25.5625,84,86,89,95,162,126,307,314,167,137,364,364,158,128,538,502,5,5,5,5,5,255,9,9,255,255,5,9,255,255,5,5,65,66,68,66,131,128,115,111,1001,1026,88,3004,98,86,87,100,5,5,5,5,5,5,5,5,5,5,255,10,255,255,255,255,0.0,0.0,106.13099670410156
32585.578,226.3125,390.0,570.9375,2157.875,29.1875,184.3125,250.375,510.1875,1968.125,16.9375,-25.5625,84,86,89,95,162,126,307,314,167,137,364,364,158,128,538,502,5,5,5,5,5,255,9,9,255,255,5,9,255,255,5,5,65,66,68,66,131,128,115,111,1001,1026,88,3004,98,86,87,100,5,5,5,5,5,5,5,5,5,5,255,10,255,255,255,255,0.0,0.0,106.11609649658203
