timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,vl53l8cx_s0.d0,vl53l8cx_s0.d1,vl53l8cx_s0.d2,vl53l8cx_s0.d3,vl53l8cx_s0.d4,vl53l8cx_s0.d5,vl53l8cx_s0.d6,vl53l8cx_s0.d7,vl53l8cx_s0.d8,vl53l8cx_s0.d9,vl53l8cx_s0.d10,vl53l8cx_s0.d11,vl53l8cx_s0.d12,vl53l8cx_s0.d13,vl53l8cx_s0.d14,vl53l8cx_s0.d15,vl53l8cx_s0.st0,vl53l8cx_s0.st1,vl53l8cx_s0.st2,vl53l8cx_s0.st3,vl53l8cx_s0.st4,vl53l8cx_s0.st5,vl53l8cx_s0.st6,vl53l8cx_s0.st7,vl53l8cx_s0.st8,vl53l8cx_s0.st9,vl53l8cx_s0.st10,vl53l8cx_s0.st11,vl53l8cx_s0.st12,vl53l8cx_s0.st13,vl53l8cx_s0.st14,vl53l8cx_s0.st15,vl53l8cx_s1.d0,vl53l8cx_s1.d1,vl53l8cx_s1.d2,vl53l8cx_s1.d3,vl53l8cx_s1.d4,vl53l8cx_s1.d5,vl53l8cx_s1.d6,vl53l8cx_s1.d7,vl53l8cx_s1.d8,vl53l8cx_s1.d9,vl53l8cx_s1.d10,vl53l8cx_s1.d11,vl53l8cx_s1.d12,vl53l8cx_s1.d13,vl53l8cx_s1.d14,vl53l8cx_s1.d15,vl53l8cx_s1.st0,vl53l8cx_s1.st1,vl53l8cx_s1.st2,vl53l8cx_s1.st3,vl53l8cx_s1.st4,vl53l8cx_s1.st5,vl53l8cx_s1.st6,vl53l8cx_s1.st7,vl53l8cx_s1.st8,vl53l8cx_s1.st9,vl53l8cx_s1.st10,vl53l8cx_s1.st11,vl53l8cx_s1.st12,vl53l8cx_s1.st13,vl53l8cx_s1.st14,vl53l8cx_s1.st15,vl53l8cx_s8.d0,vl53l8cx_s8.d1,vl53l8cx_s8.d2,vl53l8cx_s8.d3,vl53l8cx_s8.d4,vl53l8cx_s8.d5,vl53l8cx_s8.d6,vl53l8cx_s8.d7,vl53l8cx_s8.d8,vl53l8cx_s8.d9,vl53l8cx_s8.d10,vl53l8cx_s8.d11,vl53l8cx_s8.d12,vl53l8cx_s8.d13,vl53l8cx_s8.d14,vl53l8cx_s8.d15,vl53l8cx_s8.st0,vl53l8cx_s8.st1,vl53l8cx_s8.st2,vl53l8cx_s8.st3,vl53l8cx_s8.st4,vl53l8cx_s8.st5,vl53l8cx_s8.st6,vl53l8cx_s8.st7,vl53l8cx_s8.st8,vl53l8cx_s8.st9,vl53l8cx_s8.st10,vl53l8cx_s8.st11,vl53l8cx_s8.st12,vl53l8cx_s8.st13,vl53l8cx_s8.st14,vl53l8cx_s8.st15,stateEstimate.x,stateEstimate.y,stateEstimate.z
32402.275,195.6875,176.5625,216.5625,544.8125,47.6875,217.125,259.9375,365.6875,590.375,17.75,19.625,140,154,148,115,197,216,214,236,198,212,218,237,199,210,210,227,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,122,113,89,100,205,205,194,196,202,206,197,197,201,202,201,195,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,889,405,397,896,412,401,392,392,413,410,405,404,904,925,914,887,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.0,110.85242462158203
32422.122,194.875,176.5625,216.5625,544.8125,47.6875,217.125,259.9375,365.6875,590.375,17.75,19.625,139,154,141,115,194,217,216,234,197,211,217,238,199,208,211,227,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,122,113,89,100,205,205,194,196,202,206,197,197,201,202,201,195,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,889,405,397,896,412,401,392,392,413,410,405,404,904,925,914,887,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.0,110.86510467529297
32560.836,194.875,177.0,215.8125,544.875,47.375,216.6875,260.875,366.125,592.0,21.5625,19.625,139,154,141,115,194,217,216,234,197,211,217,238,199,208,211,227,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,121,114,91,97,207,207,196,197,203,205,198,197,200,202,199,198,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,903,401,399,888,413,406,392,394,416,412,406,402,911,934,915,880,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.0,110.91168975830078
32580.672,195.0625,177.0,215.8125,544.875,47.375,216.6875,260.875,366.125,592.0,21.5625,19.625,134,155,149,115,195,217,214,235,197,213,216,238,198,207,211,227,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,121,114,91,97,207,207,196,197,203,205,198,197,200,202,199,198,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,903,401,399,888,413,406,392,394,416,412,406,402,911,934,915,880,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.0,110.90895080566406
32659.946,195.0625,176.1875,217.3125,545.4375,47.75,216.625,280.8125,364.5,593.25,17.875,20.625,134,155,149,115,195,217,214,235,197,213,216,238,198,207,211,227,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,119,114,90,98,205,204,195,197,202,204,198,198,198,202,199,196,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,899,403,399,918,410,402,393,394,413,413,406,401,898,924,920,899,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.0,110.9087142944336
32679.756,195.0625,176.1875,217.3125,545.4375,47.75,216.625,280.8125,364.5,593.25,17.875,20.625,134,155,149,115,195,217,214,235,197,213,216,238,198,207,211,227,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,119,114,90,98,205,204,195,197,202,204,198,198,198,202,199,196,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,899,403,399,918,410,402,393,394,413,413,406,401,898,924,920,899,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.0,110.90135192871094
32699.587,195.0625,176.1875,217.3125,545.4375,47.75,216.625,280.8125,364.5,593.25,17.875,20.625,134,155,149,115,195,217,214,235,197,213,216,238,198,207,211,227,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,119,114,90,98,205,204,195,197,202,204,198,198,198,202,199,196,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,899,403,399,918,410,402,393,394,413,413,406,401,898,924,920,899,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.0,110.9099349975586
32719.397,195.0625,176.1875,217.3125,545.4375,47.75,216.625,280.8125,364.5,593.25,17.875,20.625,134,155,149,115,195,217,214,235,197,213,216,238,198,207,211,227,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,119,114,90,98,205,204,195,197,202,204,198,198,198,202,199,196,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,899,403,399,918,410,402,393,394,413,413,406,401,898,924,920,899,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.0,110.92103576660156
32739.237,196.375,176.6875,217.3125,545.4375,47.75,216.625,280.8125,364.5,593.25,17.875,20.625,139,155,147,116,196,218,214,235,199,213,217,239,198,210,214,232,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120,112,90,100,205,208,195,198,203,205,196,200,199,201,199,196,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,899,403,399,918,410,402,393,394,413,413,406,401,898,924,920,899,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.0,110.92794799804688
32818.507,196.375,176.6875,217.25,544.8125,47.375,216.125,259.875,364.5625,592.8125,21.75,19.75,139,155,147,116,196,218,214,235,199,213,217,239,198,210,214,232,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120,112,90,100,205,208,195,198,203,205,196,200,199,201,199,196,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,911,404,402,888,411,402,392,392,413,412,406,406,905,936,916,889,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.0,110.93685150146484
32838.318,196.375,176.6875,217.25,544.8125,47.375,216.125,259.875,364.5625,592.8125,21.75,19.75,139,155,147,116,196,218,214,235,199,213,217,239,198,210,214,232,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120,112,90,100,205,208,195,198,203,205,196,200,199,201,199,196,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,911,404,402,888,411,402,392,392,413,412,406,406,905,936,916,889,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.0,110.94076538085938
32858.147,196.375,176.6875,217.25,544.8125,47.375,216.125,259.875,364.5625,592.8125,21.75,19.75,139,155,147,116,196,218,214,235,199,213,217,239,198,210,214,232,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120,112,90,100,205,208,195,198,203,205,196,200,199,201,199,196,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,911,404,402,888,411,402,392,392,413,412,406,406,905,936,916,889,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.0,110.96055603027344
32877.959,196.375,176.6875,217.25,544.8125,47.375,216.125,259.875,364.5625,592.8125,21.75,19.75,139,155,147,116,196,218,214,235,199,213,217,239,198,210,214,232,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,120,112,90,100,205,208,195,198,203,205,196,200,199,201,199,196,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,911,404,402,888,411,402,392,392,413,412,406,406,905,936,916,889,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.0,110.9620361328125
32897.797,196.5625,176.125,217.25,544.8125,47.375,216.125,259.875,364.5625,592.8125,21.75,19.75,138,154,148,115,196,218,215,236,198,211,218,243,199,209,215,232,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,119,113,91,98,204,204,196,193,202,204,196,200,199,202,199,198,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,911,404,402,888,411,402,392,392,413,412,406,406,905,936,916,889,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.0,110.95388793945312
32977.068,196.5625,176.125,217.5,546.5625,47.1875,216.625,258.6875,366.75,591.6875,17.8125,20.5625,138,154,148,115,196,218,215,236,198,211,218,243,199,209,215,232,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,119,113,91,98,204,204,196,193,202,204,196,200,199,202,199,198,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,921,401,402,891,409,403,392,394,411,410,404,404,902,931,920,872,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.0,110.91812896728516
32996.879,196.5625,176.125,217.5,546.5625,47.1875,216.625,258.6875,366.75,591.6875,17.8125,20.5625,138,154,148,115,196,218,215,236,198,211,218,243,199,209,215,232,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,119,113,91,98,204,204,196,193,202,204,196,200,199,202,199,198,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,921,401,402,891,409,403,392,394,411,410,404,404,902,931,920,872,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.0,110.91624450683594
33016.708,196.5625,176.125,217.5,546.5625,47.1875,216.625,258.6875,366.75,591.6875,17.8125,20.5625,138,154,148,115,196,218,215,236,198,211,218,243,199,209,215,232,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,119,113,91,98,204,204,196,193,202,204,196,200,199,202,199,198,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,921,401,402,891,409,403,392,394,411,410,404,404,902,931,920,872,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0.0,0.0,110.92095184326172
