timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,motion.deltaX,motion.deltaY,motion.shutter,motion.squal,motion.std,motion.loopUs,sys.rangingUs
31937.024,570.6875,344.25,315.25,697.0625,46.0,1400.75,390.5625,190.4375,1923.625,20.5,-14.8125,0.20278611779212952,0.14772385358810425,0.014629575423896313,12,0,0,8191,18,2.0,1007,59185
31986.558,570.6875,344.25,315.25,697.0625,46.0,1400.75,390.5625,190.4375,1923.6875,20.3125,-14.0625,0.2243034690618515,0.16313326358795166,0.010864240117371082,11,0,0,8191,18,2.0,1007,55474
32036.115,570.6875,344.25,315.25,697.0625,46.0,1400.75,390.5625,190.4375,1923.6875,20.3125,-14.0625,0.23621371388435364,0.1716359555721283,0.013154134154319763,14,0,0,8191,22,2.0,310,55474
32085.683,375.4375,342.0625,313.1875,556.5,49.0,1399.375,390.5625,190.4375,1923.6875,20.3125,-14.0625,0.24757824838161469,0.17983640730381012,0.024565640836954117,25,0,0,8191,22,2.0,310,55474
32135.223,375.4375,342.0625,313.1875,556.5,49.0,1399.375,436.25,212.6875,1919.6875,16.4375,-14.625,0.26224157214164734,0.1902451515197754,0.014795915223658085,11,0,0,8191,18,2.0,17401,60521
32184.764,375.4375,342.0625,313.1875,556.5,49.0,1399.375,436.25,212.6875,1919.6875,16.4375,-14.625,0.2732108533382416,0.19806520640850067,0.022047292441129684,28,0,0,8191,18,2.0,17401,60521
32234.321,371.5,336.1875,311.1875,549.9375,49.0,1399.375,436.25,212.6875,1919.6875,16.4375,-14.625,0.2890373766422272,0.20942361652851105,0.018325243145227432,13,0,0,8191,18,2.0,312,60521
32283.863,371.5,336.1875,311.1875,549.9375,48.25,1398.8125,425.375,177.3125,1921.5625,20.0625,-14.125,0.30572861433029175,0.22138243913650513,0.014196720905601978,10,0,0,8191,18,2.0,312,63282
32333.426,371.5,336.1875,311.1875,549.9375,48.25,1398.8125,425.375,177.3125,1921.5625,20.0625,-14.125,0.3207615315914154,0.2321024090051651,0.012893794104456902,13,0,0,8191,15,2.0,313,63282
32383.002,557.75,331.875,311.1875,549.9375,48.25,1398.8125,425.375,177.3125,1921.5625,20.0625,-14.125,0.3282974064350128,0.23746101558208466,0.017313186079263687,23,0,0,8191,15,2.0,313,63282
32432.524,557.75,331.875,305.3125,694.0625,50.0,1403.125,387.0625,189.6875,1921.25,16.375,-14.75,0.34764400124549866,0.25127387046813965,0.014881545677781105,12,0,0,8191,21,2.0,24328,59420
32482.068,557.75,331.875,305.3125,694.0625,50.0,1403.125,387.0625,189.6875,1921.25,16.375,-14.75,0.3587198257446289,0.2591066360473633,0.017123116180300713,22,0,0,8191,21,2.0,24328,59420
32531.643,557.75,331.875,305.3125,694.0625,50.0,1403.125,387.0625,189.6875,1921.25,16.375,-14.75,0.37876492738723755,0.2735951244831085,0.012945144437253475,8,0,0,8191,16,2.0,331,59420
32581.181,358.1875,328.125,301.8125,547.8125,49.75,1398.8125,433.0,188.75,1926.4375,16.375,-14.75,0.395523339509964,0.2856159210205078,0.011318874545395374,11,0,0,8191,16,2.0,331,59420
32630.721,358.1875,328.125,301.8125,547.8125,49.75,1398.8125,433.0,188.75,1926.4375,20.3125,-14.0,0.4119874835014343,0.2973797619342804,0.010991871356964111,12,0,0,8191,16,2.0,326,61499
32680.274,358.1875,328.125,301.8125,547.8125,49.75,1398.8125,433.0,188.75,1926.4375,20.3125,-14.0,0.42196255922317505,0.304339200258255,0.01682315394282341,23,0,0,8191,16,2.0,326,61499
32729.852,346.9375,321.3125,300.8125,538.125,51.375,1401.25,387.0625,188.75,1926.4375,20.3125,-14.0,0.43783101439476013,0.3156920075416565,0.014411408454179764,11,0,0,8191,16,2.0,326,61499
32779.375,346.9375,321.3125,300.8125,538.125,51.375,1401.25,387.0625,212.625,1922.625,16.5625,-14.9375,0.459244966506958,0.3308972418308258,0.014256902039051056,14,0,0,8191,20,2.0,23358,59547
32828.928,346.9375,321.3125,300.8125,538.125,51.375,1401.25,387.0625,212.625,1922.625,16.5625,-14.9375,0.47234711050987244,0.3404770493507385,0.019153453409671783,22,0,0,8191,20,2.0,23358,59547
