timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,sys.rangingUs
26259.441,310.75,292.25,167.125,366.75,52.875,66.625,279.9375,259.3125,1918.1875,17.875,-16.375,0.0,0.0,147.42869567871094,0,55099
26308.988,312.125,293.875,167.125,366.75,52.875,66.625,279.9375,259.3125,1918.1875,17.875,-16.375,0.0,0.0,147.4176788330078,0,55099
26358.543,312.125,293.875,165.875,366.6875,52.8125,66.375,287.3125,257.4375,1921.4375,17.9375,-15.8125,0.0,0.0,147.4304962158203,0,54977
26408.068,312.125,293.875,165.875,366.6875,52.8125,66.375,287.3125,257.4375,1921.4375,17.9375,-15.8125,0.0,0.0,147.48458862304688,0,54977
26457.634,311.625,293.875,165.875,366.6875,52.8125,66.375,287.3125,257.4375,1921.4375,17.9375,-15.8125,0.0,0.0,147.48927307128906,0,54977
26507.159,311.625,292.6875,158.8125,367.3125,52.9375,65.875,293.0625,259.0625,1919.0625,21.625,-16.5,0.0,0.0,147.46627807617188,0,55063
26556.723,311.625,292.6875,158.8125,367.3125,52.9375,65.875,293.0625,259.0625,1919.0625,21.625,-16.5,0.0,0.0,147.44387817382812,0,55063
26606.263,311.625,292.6875,158.8125,367.3125,52.9375,65.875,293.0625,259.0625,1919.0625,21.625,-16.5,0.0,0.0,147.43150329589844,0,55063
26655.816,312.5625,293.6875,154.625,366.6875,53.3125,66.6875,285.6875,261.125,1919.6875,17.75,-16.5,0.0,0.0,147.43942260742188,0,55063
26705.339,312.5625,293.6875,154.625,366.6875,53.3125,66.6875,285.6875,261.125,1919.6875,17.75,-16.375,0.0,0.0,147.43154907226562,0,55060
26754.904,312.5625,293.6875,154.625,366.6875,53.3125,66.6875,285.6875,261.125,1919.6875,17.75,-16.375,0.0,0.0,147.44607543945312,0,55060
26804.435,312.6875,295.5,166.8125,367.75,52.25,66.3125,285.4375,258.875,1918.875,17.75,-16.375,0.0,0.0,147.45941162109375,0,55060
26853.983,312.6875,295.5,166.8125,367.75,52.25,66.3125,285.4375,258.875,1918.875,17.6875,-15.8125,0.0,0.0,147.46115112304688,0,55036
26903.52,312.6875,295.5,166.8125,367.75,52.25,66.3125,285.4375,258.875,1918.875,17.6875,-15.8125,0.0,0.0,147.45770263671875,0,55036
26953.089,314.9375,297.6875,163.375,371.0,52.5625,69.3125,295.3125,258.9375,1918.875,17.6875,-15.8125,0.0,0.0,147.45431518554688,0,55036
