timestamp,vl53l8cx.s0,vl53l8cx.s1,vl53l8cx.s2,vl53l8cx.s3,vl53l8cx.s4,vl53l8cx.s5,vl53l8cx.s6,vl53l8cx.s7,vl53l8cx.s8,vl53l8cx.s9,vl53l8cx.s10,stateEstimate.x,stateEstimate.y,stateEstimate.z,range.zrange,motion.deltaX,motion.deltaY,motion.shutter,motion.squal,motion.std,motion.loopUs
23749.565,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.1388922780752182,0.1489371508359909,0.01794331520795822,10,0,0,8191,24,2.0,312
23799.097,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.1509752720594406,0.16187268495559692,0.013418200425803661,11,0,0,8191,24,2.0,312
23848.641,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.15814068913459778,0.1695488840341568,0.015797246247529984,20,0,0,8191,26,2.0,394
23898.179,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.168796569108963,0.18102410435676575,0.014379232190549374,12,0,0,8191,26,2.0,394
23947.73,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.17997027933597565,0.19307196140289307,0.012386290356516838,10,0,0,8191,20,2.0,397
23997.265,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.18708381056785583,0.20062340795993805,0.015211470425128937,20,0,0,8191,20,2.0,397
24046.803,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.19939389824867249,0.21389397978782654,0.012951934710144997,10,0,0,8191,20,2.0,325
24096.351,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.2103768140077591,0.225688174366951,0.012143703177571297,12,0,0,8191,20,2.0,325
24145.897,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.21833615005016327,0.2341448813676834,0.014724674634635448,13,0,0,8191,25,2.0,312
24195.44,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.2307504266500473,0.24741248786449432,0.013693595305085182,12,0,0,8191,25,2.0,312
24244.969,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.23794277012348175,0.2551816999912262,0.017516450956463814,23,0,0,8191,19,2.0,364
24294.51,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.2527112662792206,0.27076056599617004,0.014502352103590965,9,0,0,8191,19,2.0,364
24344.063,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.2652037739753723,0.28400230407714844,0.013752386905252934,13,0,0,8191,23,2.0,330
24393.595,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.27472102642059326,0.2942662537097931,0.015959229320287704,19,0,0,8191,23,2.0,330
24443.142,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.2890164852142334,0.30928710103034973,0.014418848790228367,12,0,0,8191,21,2.0,313
24492.676,0.0,0.0,0.0,0.0,0.0,0.0,1.0950558160979658e-19,0.0,1.0843133248803162e-19,0.0,0.0,0.2992505431175232,0.3202340006828308,0.015168748795986176,20,0,0,8191,21,2.0,313
